RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
095.47988,+27.50835,   42.00,  9.556, 0.279,F5          ,       ,  666967,  -30.70,       , ,   1
095.51274,+34.59751,   14.61,  7.654, 0.013,F8          ,  30270,  571249,  -41.70,   0.10, ,   3
095.60777,+26.74758,    8.68,  9.128, 0.017,F8          ,  30305,  667047,    9.70,       , ,   1
095.61809,+30.94525,    8.35,  8.629, 0.014,F0          ,  30309,  571281,   39.00,   0.90, ,   9
095.64572,+32.76029,    4.26,  8.320, 0.010,F5          ,  30316,  571296,  -24.00,   1.30, ,   1
095.96704,+28.97485,  -10.89,  8.828, 0.207,F6 V        ,       ,  667226,    4.00,   6.60, ,   6
096.09272,+26.19256,   30.60,  9.757, 0.404,F8          ,       ,  667287,   26.90,       , ,   1
096.25376,+24.30212,    6.79,  7.705, 0.008,F8          ,  30528,  759784,    1.30,   0.40, ,   1
096.52051,+27.99903,    6.23, 10.237, 0.185,F8          ,  30618,  667475,   31.90,   1.40, ,   1
096.82616,+26.66917,    5.40,  9.856, 0.023,F8          ,  30724,  667636,  -39.50,       , ,   1
097.13203,+39.11048,    5.50,  7.832, 0.039,F0          ,  30822,  479985,  -10.40,   1.40, ,   4
097.14204,+30.49307,    2.07,  5.684, 0.277,F8 Ibva     ,  30827,  571833,   18.80,       , ,
097.18253,+30.28543,    6.85,  8.948, 0.014,F0        g ,  30855,  571853,   -4.30,       ,B,   4
097.23471,+26.96765,   22.00,  6.577, 0.006,F5          ,  30880,  667848,   -5.44,   1.27, ,   2
097.69012,+29.82858,    6.48,  8.087, 0.019,F2        d ,  31036,  668059,   34.79,   1.79, ,   3
098.38072,+29.67230,   11.00,  8.340, 0.133,F2        g ,       ,  668364,   -0.40,       ,B,   3
098.67418,+38.54017,    3.92,  7.500, 0.012,F5...       ,  31373,  480559,   -3.30,   0.30, ,   1
098.90271,+20.88892,    7.53,  7.924, 0.008,F2          ,  31483,  761027,  -31.50,   0.60, ,   5
099.33910,+27.97610,  -15.30,  8.938, 0.209,F7 V        ,       ,  668738,   62.20,   3.30, ,   5
099.88113,+24.59994,   28.68,  6.421, 0.007,F8IV+F5V*   ,  31850,  761457,    5.97,   2.62, ,   5
